Категория,Подкатегория 2,Подкатегория 3,Артикул,Имя товара,Цена,Количество,Производитель,Опция:Цвет
Детские товары и игрушки,Прогулки и детская комната,Коляски,387756,Коляска Camarelo EOS,"10 758,0",14,Camarelo,красный
Детские товары и игрушки,Прогулки и детская комната,Коляски,387756,Коляска Camarelo EOS,"12 276,0",7,Camarelo,розовый
Детские товары и игрушки,Прогулки и детская комната,Коляски,387756,Коляска Camarelo EOS,"12 320,0",10,Camarelo,салатовый
Детские товары и игрушки,Прогулки и детская комната,Коляски,387756,Коляска Camarelo EOS,"10 758,0",12,Camarelo,серый
Детские товары и игрушки,Прогулки и детская комната,Коляски,387756,Коляска Camarelo EOS,"10 758,0",8,Camarelo,фиолетовый
Детские товары и игрушки,Прогулки и детская комната,Коляски,387756,Коляска Camarelo EOS,"12 870,0",13,Camarelo,черный
Детские товары и игрушки,Прогулки и детская комната,Коляски,387756,Коляска Camarelo EOS,"12 870,0",4,Camarelo,графит
Детские товары и игрушки,Прогулки и детская комната,Коляски,387756,Коляска Camarelo EOS,"12 870,0",7,Camarelo,песочный
Детские товары и игрушки,Прогулки и детская комната,Коляски,387756,Коляска Camarelo EOS,"11 497,2",12,Camarelo,бежевый
Детские товары и игрушки,Прогулки и детская комната,Коляски,387756,Коляска Camarelo EOS,"10 758,0",11,Camarelo,синий
Детские товары и игрушки,Прогулки и детская комната,Коляски,806604,Коляска Jetem Orion 4.0,"8855,0",11,Jetem,
